Año,Mes,SumaPrecipitacion_mm,Demanda_Energia_SIN_kWh,Generación_kWh,Demanda_No_Atendida_kWh
2016.0,9.0,19970.329,5541867547.87,5536454641.48,4810330.0
2016.0,10.0,19323.088,5587353320.82,5581186391.78,5682400.0
2016.0,11.0,20440.073,5428488358.34,5423774522.06,3237650.0
2016.0,12.0,13256.343,5547980991.85,5544713228.44,1935770.0
2017.0,1.0,16248.084,5428132634.7,5424894318.6,1550560.0
2017.0,2.0,15978.792,5188569857.98,5182899528.09,4277040.0
2017.0,3.0,52818.228,5607756203.14,5512968924.05,3607890.0
2017.0,4.0,39369.276,5451232084.55,5405615334.47,8210960.0
2017.0,5.0,63761.661,5681911134.89,5660239608.62,3762990.0
2017.0,6.0,61906.744,5492867051.78,5485846997.37,5503230.0
2017.0,7.0,27370.041,5665040999.06,5651094103.77,3593380.0
2017.0,8.0,49115.874,5769319463.64,5766421028.83,4152080.0
2017.0,9.0,51120.937,5623579024.41,5617133489.25,4701450.0
2017.0,10.0,57273.9,5740345421.18,5734759297.22,3512930.0
2017.0,11.0,73007.16,5572747281.32,5554469036.67,4947240.0
2017.0,12.0,41416.765,5671566497.42,5670755623.03,2842440.0
2018.0,1.0,35871.621,5618579084.42,5499749011.95,1181540.0
2018.0,2.0,73842.226,5239200237.27,5212862906.52,3255690.0
2018.0,3.0,62490.475,5790246300.54,5780605035.17,4262960.0
2018.0,4.0,92499.837,5607304872.57,5581768103.32,8127800.0
2018.0,5.0,111882.212,5799116371.88,5781108390.0,3931940.0
2018.0,6.0,90496.083,5696940183.99,5684857215.42,5444730.0
2018.0,7.0,88901.383,5918246369.0,5913504821.83,2898360.0
2018.0,8.0,66094.596,6018778367.55,6006353637.34,2324470.0
2018.0,9.0,80643.106,5813196283.45,5805956749.99,4686200.0
2018.0,10.0,106809.44,5933695690.91,5986878013.45,4375770.0
2018.0,11.0,402461.05499999993,5819253663.66,5859371283.28,6291760.0
2018.0,12.0,368865.484,5872136369.44,5835217146.7,4874100.0
2019.0,1.0,389715.68200000003,5832426119.88,5715650230.92,3346800.0
2019.0,2.0,370257.397,5509171284.19,5304213525.24,4253810.0
2019.0,3.0,167340.998,6022174720.09,5803394703.59,4447670.0
2019.0,4.0,102619.777,5835151206.2,5667372521.48,5672850.0
2019.0,5.0,95779.154,6104414424.01,5929541955.26,5392040.0
2019.0,6.0,193769.716,5882766292.73,5756871096.66,4813100.0
2019.0,7.0,346368.11500000005,6146817068.72,6034566345.25,2726030.0
2019.0,8.0,429252.95700000005,6256798364.72,6098799028.49,4311320.0
2019.0,9.0,629476.1440000001,6050144410.97,5898615770.75,5836560.0
2019.0,10.0,374843.73199999996,6092438876.57,6016552476.25,4858690.0
2019.0,11.0,357043.058,5979343746.21,5840231684.84,2882290.0
2019.0,12.0,336844.146,6213362827.5,6048789084.87,2889200.0
2020.0,1.0,280184.31899999996,6119292458.36,5989849104.79,2898800.0
2020.0,2.0,165460.12900000002,5987996320.04,5877767510.75,2597210.0
2020.0,3.0,103933.576,5992960109.87,5931087692.88,3570940.0
2020.0,4.0,223064.27,5200808695.92,4998301438.27,1462240.0
2020.0,5.0,384975.115,5642172418.18,5416244805.79,2537030.0
2020.0,6.0,337393.218,5568356777.69,5337023736.49,10008050.0
2020.0,7.0,366954.458,5926570730.37,5712090626.68,4453090.0
2020.0,8.0,315070.8,5990045006.12,5851896924.54,4718470.0
2020.0,9.0,276462.604,5880814191.62,5865563678.97,5108370.0
2020.0,10.0,92554.962,6124723455.68,6132944735.1,3446450.0
2020.0,11.0,109680.706,5873773115.32,6071792529.71,3866730.0
2020.0,12.0,67070.565,6114636939.81,6138993291.92,3132710.0
2021.0,1.0,65300.509,5936883449.26,5931757896.29,2346390.0
2021.0,2.0,74894.977,5667984608.78,5656791101.86,4451540.0
2021.0,3.0,128344.065,6233302108.02,6061825986.57,6051500.0
2021.0,4.0,56001.949,6004425835.54,5826219859.48,4437800.0
2021.0,5.0,68582.842,6015209441.71,5997792009.35,2972050.0
2021.0,6.0,56282.217,6017830899.34,6011507417.03,5303800.0
2021.0,7.0,66182.152,6377147579.67,6366754783.24,13394430.0
2021.0,8.0,75943.891,6346906571.56,6365997776.24,6180610.0
2021.0,9.0,91648.473,6307744516.38,6483943800.66,4221840.0
2021.0,10.0,98215.391,6490084008.35,6621680198.41,5041750.0
2021.0,11.0,84863.151,6289735747.88,6291325291.19,6850200.0
2021.0,12.0,64214.435,6429358744.67,6317952675.73,6195290.0
2022.0,1.0,31157.337,6277907618.82,6276725056.08,2580390.0
2022.0,2.0,46571.736,5878351998.62,5882725713.35,2931370.0
2022.0,3.0,27735.224,6535305330.93,6467791209.45,5291740.0
2022.0,4.0,86423.82,6272358307.36,6238816793.43,5954120.0
2022.0,5.0,67733.706,6577625313.25,6556903855.96,9872060.0
2022.0,6.0,83737.022,6207699546.62,6203203467.41,4068750.0
2022.0,7.0,34546.315,6564763442.88,6562199526.11,5477860.0
2022.0,8.0,47905.098,6624485075.52,6612126663.19,4484310.0
2022.0,9.0,71725.141,6409836141.37,6418288383.06,3062180.0
2022.0,10.0,97723.8,6558240952.9,6633067408.33,3885510.0
2022.0,11.0,4188.603,6301832714.66,6429872892.15,4225260.0
2022.0,12.0,34740.499,6448707696.05,6626728104.31,2979440.0
2023.0,1.0,59948.116,6393419223.85,6693466656.82,2623780.0
2023.0,2.0,53597.619,5999701050.62,6198945157.41,4217580.0
2023.0,3.0,72809.335,6650981022.54,6644284344.19,5081240.0
2023.0,4.0,61623.676999999996,6365885386.69,6336700037.57,4102610.0
2023.0,5.0,59674.354999999996,6845507129.33,6709261054.53,6220970.0
2023.0,6.0,48078.522,6581463114.62,6444630975.58,3287290.0
2023.0,7.0,52420.362,6801309358.15,6621924078.91,5696750.0
2023.0,8.0,51584.254,7012396382.06,6984352764.59,6065270.0
2023.0,9.0,37885.975,6886336403.75,7122678580.47,6291120.0
2023.0,10.0,50375.371,6889466444.79,7074105860.15,7009620.0
2023.0,11.0,45217.494999999995,6698658231.35,6869311328.66,8322590.0
2023.0,12.0,40447.84,6856933481.1,6984575614.97,5446790.0
